Journal Report 1 (R3)	Number of Successful Full-Text Article Requests by Month and Journal																		
Account:C000032338:Regensburg University Library																			
Date run:																			
2014-07-18																			
	Publisher	Platform	Print ISSN	Online ISSN	Jan-2013	Feb-2013	Mar-2013	Apr-2013	May-2013	Jun-2013	Jul-2013	Aug-2013	Sep-2013	Oct-2013	Nov-2013	Dec-2013	YTD Total	YTD HTML	YTD PDF
Deep Sea Research Part II: Topical Studies in Oceanography	Elsevier	ScienceDirect	0967-0645		0	0	0	1	0	0	0	0	0	0	0	0	1	0	1
Dendrochronologia	Elsevier	ScienceDirect	1125-7865		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dental Clinics of North America	Elsevier	ScienceDirect	0011-8532		0	3	0	4	0	3	1	4	3	2	4	0	24	14	10
Dental Materials	Elsevier	ScienceDirect	0109-5641		53	68	71	52	35	54	94	131	44	94	31	53	780	398	382
Dermatologic Clinics	Elsevier	ScienceDirect	0733-8635		0	0	0	0	0	0	0	0	8	0	0	0	8	4	4
Desalination	Elsevier	ScienceDirect	0011-9164		2	0	3	1	0	0	0	0	0	0	1	0	7	2	5
Design Studies	Elsevier	ScienceDirect	0142-694X		0	0	0	1	0	1	0	0	0	3	0	0	5	3	2
Design Studies	Elsevier	ScienceDirect	0142-694X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Developmental & Comparative Immunology	Elsevier	ScienceDirect	0145-305X		4	0	5	1	1	0	1	0	0	12	3	0	27	14	13
Developmental & Comparative Immunology	Elsevier	ScienceDirect	0145-305X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Developmental Biology	Elsevier	ScienceDirect	0012-1606	1095-564X	59	19	56	47	43	57	47	30	34	53	59	20	524	246	278
Developmental Brain Research	Elsevier	ScienceDirect	0165-3806		4	1	2	4	2	0	1	1	2	8	0	3	28	16	12
Developmental Cell	Elsevier	ScienceDirect	1534-5807		54	58	55	76	63	85	115	42	74	95	81	59	857	524	333
Developmental Cognitive Neuroscience	Elsevier	ScienceDirect	1878-9293		0	0	0	0	0	0	0	0	0	0	1	0	1	1	0
Developmental Review	Elsevier	ScienceDirect	0273-2297	1090-2406	12	2	1	1	13	24	9	2	2	5	7	2	80	35	45
Diabetes Research and Clinical Practice	Elsevier	ScienceDirect	0168-8227		2	2	0	1	0	0	1	1	0	0	1	0	8	2	6
Diagnostic and Interventional Imaging	Elsevier	ScienceDirect	2211-5684		0	0	0	0	0	0	2	0	2	0	2	0	6	3	3
Diagnostic Histopathology	Elsevier	ScienceDirect	1756-2317		1	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Diagnostic Microbiology and Infectious Disease	Elsevier	ScienceDirect	0732-8893		5	10	6	1	4	7	3	5	9	11	2	12	75	41	34
Diamond and Related Materials	Elsevier	ScienceDirect	0925-9635		5	9	7	2	3	2	12	5	2	9	6	0	62	38	24
Differential Geometry and its Applications	Elsevier	ScienceDirect	0926-2245		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Differentiation	Elsevier	ScienceDirect	0301-4681	1432-0436	0	0	0	0	0	0	3	1	4	1	1	0	10	2	8
Digestive and Liver Disease	Elsevier	ScienceDirect	1590-8658		8	10	6	6	12	4	7	2	7	6	5	2	75	36	39
Digestive and Liver Disease Supplements	Elsevier	ScienceDirect	1594-5804		0	0	0	0	0	0	0	0	0	2	0	0	2	0	2
Digital Investigation	Elsevier	ScienceDirect	1742-2876		0	0	0	0	0	0	0	0	8	0	0	0	8	5	3
Digital Signal Processing	Elsevier	ScienceDirect	1051-2004	1095-4333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Discrete Applied Mathematics	Elsevier	ScienceDirect	0166-218X		0	0	1	0	0	1	2	0	0	1	2	2	9	4	5
Discrete Applied Mathematics	Elsevier	ScienceDirect	0166-218X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Discrete Mathematics	Elsevier	ScienceDirect	0012-365X		3	4	2	0	1	1	3	0	8	5	0	1	28	8	20
Discrete Mathematics	Elsevier	ScienceDirect	0012-365X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Discrete Optimization	Elsevier	ScienceDirect	1572-5286		0	0	0	0	0	0	0	0	1	0	0	0	1	0	1
Disease-a-Month	Elsevier	ScienceDirect	0011-5029		1	4	0	0	0	0	1	0	0	0	0	0	6	2	4
Displays	Elsevier	ScienceDirect	0141-9382		0	0	0	0	0	1	0	2	4	2	11	0	20	12	8
DNA Repair	Elsevier	ScienceDirect	1568-7864		0	1	15	2	0	0	0	0	0	0	1	0	19	4	15
Domestic Animal Endocrinology	Elsevier	ScienceDirect	0739-7240		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Drug and Alcohol Dependence	Elsevier	ScienceDirect	0376-8716		9	2	4	0	10	2	1	8	6	4	2	2	50	24	26
Drug Discovery Today	Elsevier	ScienceDirect	1359-6446		10	14	11	11	22	22	15	8	15	14	13	10	165	94	71
Drug Discovery Today: BIOSILICO	Elsevier	ScienceDirect	1741-8364		0	0	0	0	0	0	0	0	0	0	1	0	1	0	1
Drug Discovery Today: Disease Models	Elsevier	ScienceDirect	1740-6757		0	0	0	0	0	0	0	0	0	0	0	3	3	1	2
Drug Resistance Updates	Elsevier	ScienceDirect	1368-7646	1532-2084	0	0	0	1	0	0	0	1	0	0	0	0	2	2	0
Dyes and Pigments	Elsevier	ScienceDirect	0143-7208		31	17	25	18	11	21	7	11	18	18	11	0	188	95	93
Dynamics of Atmospheres and Oceans	Elsevier	ScienceDirect	0377-0265		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Early Childhood Research Quarterly	Elsevier	ScienceDirect	0885-2006		6	6	0	2	46	10	3	1	0	0	4	0	78	36	42
Early Human Development	Elsevier	ScienceDirect	0378-3782		1	0	1	2	0	0	0	3	0	2	2	0	11	4	7
Earth and Planetary Science Letters	Elsevier	ScienceDirect	0012-821X	1385-013X	5	1	0	16	4	1	0	2	0	3	0	3	35	22	13
Earth and Planetary Science Letters	Elsevier	ScienceDirect	0012-821X	1385-013X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Earth-Science Reviews	Elsevier	ScienceDirect	0012-8252		0	0	0	0	1	0	1	0	1	0	2	2	7	4	3
Eating Behaviors	Elsevier	ScienceDirect	1471-0153		0	0	0	0	0	0	0	0	0	0	1	0	1	0	1
Ecological Economics	Elsevier	ScienceDirect	0921-8009		23	2	12	15	1	11	17	16	18	15	60	9	199	87	112
Ecological Engineering	Elsevier	ScienceDirect	0925-8574		0	0	0	0	0	0	0	3	0	0	0	0	3	3	0
Ecological Indicators	Elsevier	ScienceDirect	1470-160X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ecological Modelling	Elsevier	ScienceDirect	0304-3800		2	1	7	3	4	3	4	1	3	4	7	1	40	23	17
Economic Modelling	Elsevier	ScienceDirect	0264-9993		0	0	0	1	0	0	1	0	0	0	1	0	3	1	2
Economic Systems	Elsevier	ScienceDirect	0939-3625		0	7	0	2	19	1	1	4	0	1	4	2	41	17	24
Economics Letters	Elsevier	ScienceDirect	0165-1765		4	2	6	26	5	9	5	4	4	10	7	3	85	39	46
Economics of Education Review	Elsevier	ScienceDirect	0272-7757		0	9	0	2	0	1	0	0	0	1	0	2	15	7	8
Ecotoxicology and Environmental Safety	Elsevier	ScienceDirect	0147-6513	1090-2414	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1
Educational Research Review	Elsevier	ScienceDirect	1747-938X		1	0	0	0	1	0	0	1	2	11	0	0	16	8	8
Egyptian Journal of Anaesthesia	Elsevier	ScienceDirect	1110-1849		0	0	0	1	0	0	0	0	0	0	0	0	1	0	1
Egyptian Journal of Chest Diseases and Tuberculosis	Elsevier	ScienceDirect	0422-7638		0	0	0	0	0	0	0	0	0	0	0	2	2	1	1
Egyptian Journal of Ear, Nose, Throat and Allied Sciences	Elsevier	ScienceDirect	2090-0740		0	3	0	0	0	0	0	0	0	0	0	0	3	2	1
Egyptian Journal of Petroleum	Elsevier	ScienceDirect	1110-0621		0	0	0	1	0	0	0	0	0	0	0	0	1	1	0
EJVES Extra	Elsevier	ScienceDirect	1533-3167		0	1	0	0	0	0	1	1	4	1	0	0	8	6	2
Electoral Studies	Elsevier	ScienceDirect	0261-3794		0	1	8	4	0	0	0	2	0	1	0	0	16	7	9
Electric Power Systems Research	Elsevier	ScienceDirect	0378-7796		0	0	0	0	0	2	0	0	0	0	1	1	4	1	3
Electrochemistry Communications	Elsevier	ScienceDirect	1388-2481		4	7	3	4	4	7	1	6	0	0	4	3	43	25	18
Electrochimica Acta	Elsevier	ScienceDirect	0013-4686		47	59	41	75	65	25	41	58	34	54	47	32	578	306	272
Electrodeposition and Surface Treatment	Elsevier	ScienceDirect	0300-9416		0	0	0	0	0	0	0	0	0	1	0	0	1	0	1
Electroencephalography and Clinical Neurophysiology	Elsevier	ScienceDirect	0013-4694		0	8	6	4	2	9	2	5	4	13	10	4	67	4	63
Electroencephalography and Clinical Neurophysiology/Electromyography and Motor Control	Elsevier	ScienceDirect	0924-980X		0	0	0	0	0	2	0	0	0	1	0	1	4	1	3
Electroencephalography and Clinical Neurophysiology/Electromyography and Motor Control	Elsevier	ScienceDirect	0924-980X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Electroencephalography and Clinical Neurophysiology/Evoked Potentials Section	Elsevier	ScienceDirect	0168-5597		1	2	5	1	1	1	1	0	12	4	3	0	31	1	30
Electron Microscopy Reviews	Elsevier	ScienceDirect	0892-0354		0	0	2	0	0	0	0	0	0	0	0	0	2	0	2
Electronic Commerce Research and Applications	Elsevier	ScienceDirect	1567-4223		0	0	0	0	0	0	3	1	0	0	0	0	4	1	3
Electronic Notes in Discrete Mathematics	Elsevier	ScienceDirect	1571-0653		0	0	0	0	0	1	0	0	0	0	0	0	1	0	1
Electronic Notes in Theoretical Computer Science	Elsevier	ScienceDirect	1571-0661		8	2	2	0	0	0	0	1	0	0	1	1	15	0	15
Emerging Markets Review	Elsevier	ScienceDirect	1566-0141		0	0	0	0	0	1	1	2	0	0	0	1	5	4	1
Endeavour	Elsevier	ScienceDirect	0160-9327		2	2	1	1	1	0	1	2	0	1	1	0	12	6	6
EndoTrends	Elsevier	ScienceDirect	1534-7621		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Energy	Elsevier	ScienceDirect	0360-5442		3	0	10	26	2	0	0	4	3	1	5	1	55	27	28
Energy and Buildings	Elsevier	ScienceDirect	0378-7788		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Energy Conversion and Management	Elsevier	ScienceDirect	0196-8904		0	0	2	0	3	3	0	0	1	0	0	0	9	6	3
Energy Economics	Elsevier	ScienceDirect	0140-9883	1873-6181	2	0	2	0	3	0	0	0	4	1	0	0	12	5	7
Energy in Agriculture	Elsevier	ScienceDirect	0167-5826		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Energy Policy	Elsevier	ScienceDirect	0301-4215		1	4	23	8	8	3	8	10	5	0	19	1	90	49	41
Energy Procedia	Elsevier	ScienceDirect	1876-6102		1	0	0	0	1	0	0	4	0	2	8	2	18	0	18
Energy Strategy Reviews	Elsevier	ScienceDirect	2211-467X		0	0	0	1	0	0	0	0	0	0	0	0	1	0	1
Engineering and Process Economics	Elsevier	ScienceDirect	0377-841X		0	1	0	0	0	0	0	0	0	0	0	0	1	0	1
Engineering and Process Economics	Elsevier	ScienceDirect	0377-841X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Engineering Applications of Artificial Intelligence	Elsevier	ScienceDirect	0952-1976		0	0	0	0	0	0	0	2	0	0	0	0	2	1	1
Engineering Costs and Production Economics	Elsevier	ScienceDirect	0167-188X		0	0	0	0	3	1	0	0	0	0	0	0	4	0	4
Engineering Costs and Production Economics	Elsevier	ScienceDirect	0167-188X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Engineering Fracture Mechanics	Elsevier	ScienceDirect	0013-7944		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Engineering Geology	Elsevier	ScienceDirect	0013-7952		0	1	0	0	0	0	0	0	0	0	2	0	3	2	1
Engineering Management International	Elsevier	ScienceDirect	0167-5419		0	0	1	0	0	0	0	0	0	0	0	0	1	0	1
English for Specific Purposes	Elsevier	ScienceDirect	0889-4906		0	0	0	0	0	1	0	0	0	2	0	0	3	1	2
Entertainment Computing	Elsevier	ScienceDirect	1875-9521		0	0	0	0	0	0	0	0	2	0	0	0	2	1	1
Environment International	Elsevier	ScienceDirect	0160-4120		0	0	1	0	0	0	0	0	0	0	2	2	5	0	5
Environmental and Experimental Botany	Elsevier	ScienceDirect	0098-8472		0	1	3	0	0	0	0	0	0	1	0	0	5	1	4
Environmental Forensics	Elsevier	ScienceDirect	1527-5922		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Hazards	Elsevier	ScienceDirect	1747-7891		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Impact Assessment Review	Elsevier	ScienceDirect	0195-9255		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Modelling & Software	Elsevier	ScienceDirect	1364-8152		0	0	0	0	0	0	0	2	0	0	0	1	3	2	1
Environmental Policy and Law	Elsevier	ScienceDirect	0378-777X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Pollution	Elsevier	ScienceDirect	0269-7491		3	11	4	9	5	6	4	3	6	2	4	0	57	31	26
Environmental Pollution (1970)	Elsevier	ScienceDirect	0013-9327		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Pollution Series A, Ecological and Biological	Elsevier	ScienceDirect	0143-1471		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Pollution Series B, Chemical and Physical	Elsevier	ScienceDirect	0143-148X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Research	Elsevier	ScienceDirect	0013-9351	1096-0953	3	0	0	0	0	0	0	0	0	0	0	1	4	0	4
Environmental Science & Policy	Elsevier	ScienceDirect	1462-9011		0	0	0	0	0	0	0	2	0	0	0	0	2	2	0
Environmental Software	Elsevier	ScienceDirect	0266-9838		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Toxicology and Pharmacology	Elsevier	ScienceDirect	1382-6689		0	0	0	2	0	0	0	0	1	3	0	4	10	4	6
Enzyme and Microbial Technology	Elsevier	ScienceDirect	0141-0229		5	6	6	7	2	1	4	4	1	3	7	7	53	29	24
Epilepsy & Behavior	Elsevier	ScienceDirect	1525-5050	1525-5069	3	3	0	1	4	0	0	0	4	0	4	7	26	13	13
Epilepsy Research	Elsevier	ScienceDirect	0920-1211		2	3	1	0	0	2	0	0	0	0	0	0	8	5	3
Estuarine and Coastal Marine Science	Elsevier	ScienceDirect	0302-3524		0	0	0	0	1	0	0	0	0	0	0	0	1	0	1
Estuarine, Coastal and Shelf Science	Elsevier	ScienceDirect	0272-7714	1906-0015	0	1	0	0	2	0	1	1	0	0	1	0	6	1	5
Ethics and the Environment	Elsevier	ScienceDirect	1085-6633		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ethology and Sociobiology	Elsevier	ScienceDirect	0162-3095		1	0	0	5	3	0	0	0	1	2	1	0	13	0	13
European Annals of Otorhinolaryngology, Head and Neck Diseases	Elsevier	ScienceDirect	1879-7296		0	1	0	0	0	0	0	0	0	1	5	2	9	4	5
European Economic Review	Elsevier	ScienceDirect	0014-2921		16	14	37	19	9	16	10	17	10	30	25	18	221	110	111
European Journal of Agronomy	Elsevier	ScienceDirect	1161-0301		2	0	1	3	0	3	0	1	0	1	3	4	18	10	8
European Journal of Cancer	Elsevier	ScienceDirect	0959-8049		11	2	5	9	16	5	7	10	10	8	7	3	93	45	48
European Journal of Cancer (1965)	Elsevier	ScienceDirect	0014-2964		0	4	0	2	0	0	1	0	0	0	0	0	7	0	7
European Journal of Cancer and Clinical Oncology	Elsevier	ScienceDirect	0277-5379		0	0	5	0	0	0	0	0	1	0	0	0	6	0	6
European Journal of Cancer Part B: Oral Oncology	Elsevier	ScienceDirect	0964-1955		0	0	0	0	0	0	0	0	1	1	0	0	2	0	2
European Journal of Cancer Supplements	Elsevier	ScienceDirect	1359-6349		0	0	0	0	0	0	1	0	0	5	0	0	6	3	3
European Journal of Cell Biology	Elsevier	ScienceDirect	0171-9335		13	20	14	12	18	15	18	21	13	15	11	33	203	123	80
European Journal of Combinatorics	Elsevier	ScienceDirect	0195-6698	1095-9971	0	1	3	0	0	0	0	0	0	2	1	0	7	3	4
European Journal of Internal Medicine	Elsevier	ScienceDirect	0953-6205		0	0	0	0	0	0	0	0	0	2	3	0	5	3	2
European Journal of Mechanics - A/Solids	Elsevier	ScienceDirect	0997-7538		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
European Journal of Medical Genetics	Elsevier	ScienceDirect	1769-7212		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
European Journal of Medicinal Chemistry	Elsevier	ScienceDirect	0223-5234		4	7	4	5	5	2	12	11	3	1	6	16	76	31	45
European Journal of Obstetrics & Gynecology	Elsevier	ScienceDirect	0028-2243		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
European Journal of Obstetrics & Gynecology and Reproductive Biology	Elsevier	ScienceDirect	0301-2115		0	12	4	0	2	2	1	12	6	3	5	9	56	25	31
European Journal of Operational Research	Elsevier	ScienceDirect	0377-2217		61	23	29	85	94	37	67	25	30	30	143	42	666	210	456
European Journal of Paediatric Neurology	Elsevier	ScienceDirect	1090-3798		3	0	4	1	0	0	2	1	0	8	7	4	30	15	15
European Journal of Pain	Elsevier	ScienceDirect	1090-3801		3	7	0	0	0	0	0	1	2	0	10	2	25	8	17
European Journal of Pain Supplements	Elsevier	ScienceDirect	1754-3207		0	2	2	0	0	0	0	0	0	0	0	0	4	3	1
European Journal of Pharmaceutical Sciences	Elsevier	ScienceDirect	0928-0987		8	0	9	11	3	4	11	8	9	19	12	5	99	55	44
European Journal of Pharmaceutics and Biopharmaceutics	Elsevier	ScienceDirect	0939-6411		9	14	6	25	29	15	6	9	14	12	9	11	159	87	72
European Journal of Pharmacology	Elsevier	ScienceDirect	0014-2999		98	49	41	47	61	63	46	86	83	46	41	35	696	375	321
European Journal of Pharmacology: Environmental Toxicology and Pharmacology	Elsevier	ScienceDirect	0926-6917		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
European Journal of Pharmacology: Molecular Pharmacology	Elsevier	ScienceDirect	0922-4106		1	0	0	0	0	0	0	1	0	2	0	0	4	0	4
European Journal of Political Economy	Elsevier	ScienceDirect	0176-2680		5	1	0	2	2	3	3	0	3	5	2	0	26	8	18
European Journal of Protistology	Elsevier	ScienceDirect	0932-4739		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
European Journal of Purchasing & Supply Management	Elsevier	ScienceDirect	0969-7012		0	8	1	27	4	18	16	0	0	0	0	8	82	34	48
European Journal of Radiology	Elsevier	ScienceDirect	0720-048X		11	7	19	11	16	20	8	8	22	16	21	4	163	79	84
European Journal of Radiology Extra	Elsevier	ScienceDirect	1571-4675		1	0	0	0	0	0	0	0	0	0	0	0	1	0	1
European Journal of Soil Biology	Elsevier	ScienceDirect	1164-5563		0	0	0	0	0	0	2	0	0	2	0	0	4	2	2
European Journal of Solid State and Inorganic Chemistry	Elsevier	ScienceDirect	0992-4361		0	0	0	0	0	0	0	0	1	0	0	0	1	0	1
European Journal of Surgical Oncology (EJSO)	Elsevier	ScienceDirect	0748-7983		6	1	2	6	7	2	0	0	0	0	0	1	25	5	20
European Journal of Ultrasound	Elsevier	ScienceDirect	0929-8266		0	0	0	0	0	2	0	0	0	2	1	0	5	3	2
European Journal of Vascular and Endovascular Surgery	Elsevier	ScienceDirect	1078-5884	1532-2165	16	56	28	25	23	26	52	12	63	29	10	5	345	118	227
European Journal of Vascular Surgery	Elsevier	ScienceDirect	0950-821X		0	2	2	2	1	0	1	1	0	0	4	0	13	0	13
European Journal of Vascular Surgery	Elsevier	ScienceDirect	0950-821X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
European Management Journal	Elsevier	ScienceDirect	0263-2373		8	4	10	14	9	5	14	0	6	249	281	273	873	38	835
European Neuropsychopharmacology	Elsevier	ScienceDirect	0924-977X		12	12	8	3	8	8	5	8	6	8	4	1	83	39	44
European Polymer Journal	Elsevier	ScienceDirect	0014-3057		0	3	5	1	4	3	4	3	3	0	1	1	28	14	14
European Psychiatry	Elsevier	ScienceDirect	0924-9338		11	6	13	5	5	7	9	8	5	4	10	2	85	45	40
European Urology	Elsevier	ScienceDirect	0302-2838	1421-993X	87	26	48	15	42	25	15	17	34	19	13	12	353	202	151
European Urology Supplements	Elsevier	ScienceDirect	1569-9056		6	1	5	0	2	0	0	0	1	0	0	0	15	8	7
Evaluation and Program Planning	Elsevier	ScienceDirect	0149-7189		0	0	0	52	2	6	8	1	0	2	1	0	72	46	26
Evaluation in Education	Elsevier	ScienceDirect	0191-765X		0	0	0	1	0	0	0	0	0	0	0	0	1	0	1
Evaluation in Education	Elsevier	ScienceDirect	0191-765X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Evaluation in Education. International Progress	Elsevier	ScienceDirect	0145-9228		0	0	0	1	0	0	0	0	0	0	0	0	1	0	1
Evaluation News	Elsevier	ScienceDirect	0191-8036		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Evaluation Practice	Elsevier	ScienceDirect	0886-1633		0	0	0	1	0	0	0	0	0	0	0	1	2	0	2
Evidence-based Oncology	Elsevier	ScienceDirect	1363-4054		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Evolution and Human Behavior	Elsevier	ScienceDirect	1090-5138		0	2	8	5	3	1	0	0	0	2	4	3	28	14	14
Experimental and Molecular Pathology	Elsevier	ScienceDirect	0014-4800	1096-0945	34	1	0	2	3	0	2	0	2	3	1	0	48	7	41
Experimental and Toxicologic Pathology	Elsevier	ScienceDirect	0940-2993		0	0	0	0	0	0	0	0	2	0	0	0	2	1	1
Experimental Cell Research	Elsevier	ScienceDirect	0014-4827	1090-2422	73	69	77	66	59	71	76	73	81	51	59	43	798	405	392
Experimental Eye Research	Elsevier	ScienceDirect	0014-4835	1096-0007	65	60	41	26	68	38	89	50	76	60	37	25	635	364	271
Experimental Gerontology	Elsevier	ScienceDirect	0531-5565		23	6	4	17	13	2	8	14	17	12	11	6	133	75	58
Experimental Hematology	Elsevier	ScienceDirect	0301-472X		38	15	21	33	22	12	13	17	21	12	14	14	232	132	100
Experimental Mycology	Elsevier	ScienceDirect	0147-5975		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Experimental Neurology	Elsevier	ScienceDirect	0014-4886	1090-2430	14	35	9	21	7	2	13	4	9	29	12	1	156	77	79
Experimental Parasitology	Elsevier	ScienceDirect	0014-4894	1090-2449	3	0	1	1	1	0	0	5	2	2	0	0	15	1	14
Experimental Thermal and Fluid Science	Elsevier	ScienceDirect	0894-1777		0	0	0	0	0	0	0	0	0	1	0	0	1	1	0
Expert Systems with Applications	Elsevier	ScienceDirect	0957-4174		1	0	0	0	8	2	5	0	0	3	2	4	25	8	17
Explorations in Economic History	Elsevier	ScienceDirect	0014-4983		1	3	3	0	0	1	0	0	3	0	0	0	11	2	9
EXPLORE: The Journal of Science and Healing	Elsevier	ScienceDirect	1550-8307		0	0	0	0	0	0	0	0	3	0	0	0	3	1	2
Expositiones Mathematicae	Elsevier	ScienceDirect	0723-0869		0	0	2	0	0	2	0	0	0	1	1	0	6	2	4
FEBS Letters	Elsevier	ScienceDirect	0014-5793		131	97	101	129	100	99	125	131	95	125	143	66	1342	760	582
FEBS Open Bio	Elsevier	ScienceDirect	2211-5463		0	0	0	0	0	2	0	0	0	0	0	1	3	2	1
FEMS Immunology and Medical Microbiology	Elsevier	ScienceDirect	0928-8244		0	0	0	0	0	0	3	0	0	0	0	0	3	1	2
FEMS Microbiology Ecology	Elsevier	ScienceDirect	0168-6496		1	1	0	0	0	0	0	0	0	0	0	0	2	2	0
FEMS Microbiology Letters	Elsevier	ScienceDirect	0378-1097		4	0	3	2	0	6	0	3	2	2	0	2	24	15	9
FEMS Microbiology Reviews	Elsevier	ScienceDirect	0168-6445		0	0	0	0	0	1	0	0	0	0	1	2	4	3	1
FEMS Yeast Research	Elsevier	ScienceDirect	1567-1356		0	0	2	0	0	0	0	0	0	0	0	0	2	1	1
Fertility and Sterility	Elsevier	ScienceDirect	0015-0282		2	2	5	0	1	7	3	0	0	8	2	0	30	15	15
Fibrinolysis	Elsevier	ScienceDirect	0268-9499		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fibrinolysis and Proteolysis	Elsevier	ScienceDirect	1369-0191		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Field Crops Research	Elsevier	ScienceDirect	0378-4290		5	1	0	69	0	13	0	0	2	3	7	0	100	12	88
Filtration + Separation	Elsevier	ScienceDirect	0015-1882		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Financial Services Review	Elsevier	ScienceDirect	1057-0810		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Finite Elements in Analysis and Design	Elsevier	ScienceDirect	0168-874X		0	0	0	0	0	0	0	1	0	0	0	0	1	1	0
Finite Elements in Analysis and Design	Elsevier	ScienceDirect	0168-874X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Finite Fields and Their Applications	Elsevier	ScienceDirect	1071-5797	1090-2465	0	0	0	0	0	0	0	0	0	2	0	0	2	0	2
Fish & Shellfish Immunology	Elsevier	ScienceDirect	1050-4648	1095-9947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fisheries Research	Elsevier	ScienceDirect	0165-7836		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fitoterapia	Elsevier	ScienceDirect	0367-326X		0	0	0	0	0	0	0	1	0	0	0	0	1	0	1
Flora - Morphology, Distribution, Functional Ecology of Plants	Elsevier	ScienceDirect	0367-2530		22	4	2	5	7	7	8	11	18	4	7	8	103	41	62
Flow Measurement and Instrumentation	Elsevier	ScienceDirect	0955-5986		0	0	0	0	0	0	0	0	0	0	1	0	1	0	1
Fluid Dynamics Research	Elsevier	ScienceDirect	0169-5983		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fluid Phase Equilibria	Elsevier	ScienceDirect	0378-3812		14	20	14	71	0	11	8	13	9	35	7	14	216	121	95
Focus on Polyvinyl Chloride	Elsevier	ScienceDirect	1468-5736		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Focus on Powder Coatings	Elsevier	ScienceDirect	1364-5439		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Folding and Design	Elsevier	ScienceDirect	1359-0278		0	3	2	1	0	0	0	0	0	0	0	0	6	3	3
Food and Chemical Toxicology	Elsevier	ScienceDirect	0278-6915		16	16	25	9	21	9	16	9	58	10	5	66	260	138	122
Food and Cosmetics Toxicology	Elsevier	ScienceDirect	0015-6264		0	0	2	0	0	0	0	0	0	1	0	0	3	0	3
Food Chemistry	Elsevier	ScienceDirect	0308-8146		7	19	8	2	14	6	2	2	5	3	4	4	76	35	41
Food Control	Elsevier	ScienceDirect	0956-7135		0	0	0	0	0	2	0	0	0	0	0	0	2	2	0
Food Hydrocolloids	Elsevier	ScienceDirect	0268-005X		0	0	0	3	1	0	0	0	0	0	0	3	7	2	5
Food Hydrocolloids	Elsevier	ScienceDirect	0268-005X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Food Microbiology	Elsevier	ScienceDirect	0740-0020	1095-9998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Food Policy	Elsevier	ScienceDirect	0306-9192		0	0	0	3	0	3	0	0	2	0	1	0	9	3	6
