Journal Report 1 (R3)	Number of Successful Full-Text Article Requests by Month and Journal																		
Account:C000032338:Regensburg University Library																			
Date run:																			
2014-07-18																			
	Publisher	Platform	Print ISSN	Online ISSN	Jan-2013	Feb-2013	Mar-2013	Apr-2013	May-2013	Jun-2013	Jul-2013	Aug-2013	Sep-2013	Oct-2013	Nov-2013	Dec-2013	YTD Total	YTD HTML	YTD PDF
The Journal of Steroid Biochemistry and Molecular Biology	Elsevier	ScienceDirect	0960-0760		17	27	15	18	20	13	0	13	4	14	16	4	161	91	70
The Journal of Strategic Information Systems	Elsevier	ScienceDirect	0963-8687		14	0	0	2	1	14	7	2	8	8	0	1	57	26	31
The Journal of Supercritical Fluids	Elsevier	ScienceDirect	0896-8446		0	2	0	0	0	0	0	2	0	0	0	1	5	0	5
The Journal of the American Association of Gynecologic Laparoscopists	Elsevier	ScienceDirect	1074-3804		0	0	0	0	0	0	0	0	0	0	1	0	1	0	1
The Journal of Thoracic and Cardiovascular Surgery	Elsevier	ScienceDirect	0022-5223		57	75	78	77	38	44	57	39	53	79	96	29	722	281	441
The Journal of Urology	Elsevier	ScienceDirect	0022-5347	1527-3792	151	77	78	52	54	56	65	81	142	87	36	41	920	368	552
The Knee	Elsevier	ScienceDirect	0968-0160		2	0	0	0	0	0	0	0	2	3	2	0	9	4	5
The Lancet	Elsevier	ScienceDirect	0140-6736	1474-547X	307	311	314	371	271	273	356	247	310	356	333	265	3714	1821	1892
The Lancet Diabetes & Endocrinology	Elsevier	ScienceDirect	2213-8587		0	0	0	0	0	0	0	0	0	7	3	0	10	5	5
The Lancet Infectious Diseases	Elsevier	ScienceDirect	1473-3099		21	34	16	19	15	30	26	1	18	39	45	49	313	167	146
The Lancet Neurology	Elsevier	ScienceDirect	1474-4422		28	24	22	24	32	50	29	26	27	61	45	18	386	208	178
The Lancet Oncology	Elsevier	ScienceDirect	1470-2045	1474-5488	79	92	28	123	47	58	69	61	101	48	96	63	865	415	450
The Lancet Respiratory Medicine	Elsevier	ScienceDirect	2213-2600		0	0	0	0	1	0	1	1	2	0	0	0	5	1	4
The Leadership Quarterly	Elsevier	ScienceDirect	1048-9843		45	49	297	39	131	128	60	32	54	74	93	106	1108	397	711
The Lichenologist	Elsevier	ScienceDirect	0024-2829		0	0	0	0	0	0	0	0	0	0	1	0	1	0	1
The Netherlands Journal of Medicine	Elsevier	ScienceDirect	0300-2977		0	0	0	0	0	1	0	0	0	0	0	0	1	0	1
The North American Journal of Economics and Finance	Elsevier	ScienceDirect	1062-9408		0	0	0	0	1	2	1	0	0	0	0	0	4	3	1
The Quarterly Review of Economics and Finance	Elsevier	ScienceDirect	1062-9769		7	7	13	13	3	4	16	21	6	12	3	2	107	44	63
The Social Science Journal	Elsevier	ScienceDirect	0362-3319		0	12	0	0	0	0	1	0	0	13	0	0	26	7	19
The Veterinary Journal	Elsevier	ScienceDirect	1090-0233		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
